id,index,commonNameZh,scientificName,slug,icon_path,photo_url,photo_source,matched_taxon,photo_found
fish-054,054,黑帶金鼓,,threadfin-seabream,assets/fish/icons/generated/054.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669450569/large.jpg,inat_manual_fill,Nemipteridae,1
fish-055,055,黑邊銀鯽,Alepes apercna,small-scad,assets/fish/icons/generated/055.png,https://inaturalist-open-data.s3.amazonaws.com/photos/400119177/large.jpeg,inat_obs,Alepes apercna,1
fish-056,056,黑鯧,Parastromateus niger,egg-wrasse,assets/fish/icons/generated/056.png,https://inaturalist-open-data.s3.amazonaws.com/photos/664746643/large.jpg,inat_zh_taxon,Parastromateus niger,1
fish-057,057,鼠尾隆頭魚,,mouse-wrasse,assets/fish/icons/generated/057.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670258061/large.jpg,inat_manual_fill,Macropharyngodon meleagris,1
fish-058,058,龍舟魚,Sillago argentifasciata,silver-sillago,assets/fish/icons/generated/058.png,https://inaturalist-open-data.s3.amazonaws.com/photos/652073832/large.jpg,inat_slug,Sillago argentifasciata,1
fish-059,059,半嘴魚,Upeneichthys porosus,goatfish,assets/fish/icons/generated/059.png,https://inaturalist-open-data.s3.amazonaws.com/photos/597288607/large.jpg,inat_obs,Upeneichthys vlamingii,1
fish-060,060,針魚,Helotes octolineatus,grunt,assets/fish/icons/generated/060.png,https://static.inaturalist.org/photos/560865392/large.jpg,inat_obs,Helotes octolineatus,1
fish-061,061,青針魚,Terapon puta,small-banded-grunter,assets/fish/icons/generated/061.png,https://inaturalist-open-data.s3.amazonaws.com/photos/162032088/large.jpeg,inat_obs,Terapon puta,1
fish-062,062,比目魚,Gerres subfasciatus,silver-biddy,assets/fish/icons/generated/062.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668820074/large.jpg,inat_slug,Gerres subfasciatus,1
fish-063,063,海鯰,Engraulis australis,anchovy,assets/fish/icons/generated/063.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668122379/large.jpg,inat_slug,Engraulis australis,1
fish-064,064,大鱗烏頭,Sardinella aurita,sardinella,assets/fish/icons/generated/064.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669176909/large.jpg,inat_slug,Sardinella aurita,1
fish-065,065,彈塗魚,Sphyraena barracuda,barracuda,assets/fish/icons/generated/065.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669802751/large.gif,inat_slug,Sphyraena barracuda,1
fish-066,066,灰烏頭,Petalichthys capensis,needlefish,assets/fish/icons/generated/066.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668829093/large.jpg,inat_slug,Hemiramphus far,1
fish-067,067,狗母魚,Hemiramphus far,halfbeak,assets/fish/icons/generated/067.png,https://inaturalist-open-data.s3.amazonaws.com/photos/665644894/large.jpg,inat_slug,Zenarchopterus buffonis,1
fish-068,068,花狗母魚,Tandanus tandanus,eeltail-catfish,assets/fish/icons/generated/068.png,https://inaturalist-open-data.s3.amazonaws.com/photos/668865252/large.jpg,inat_slug,Tandanus tandanus,1
fish-069,069,鰕虎魚,Genidens barbus,sea-catfish,assets/fish/icons/generated/069.png,https://inaturalist-open-data.s3.amazonaws.com/photos/235897032/large.jpeg,inat_slug,Pararius proximus,1
fish-070,070,鰻尾鯰,Gerres simillimus,mojarra,assets/fish/icons/generated/070.png,https://inaturalist-open-data.s3.amazonaws.com/photos/670186089/large.jpg,inat_slug,Diplodus vulgaris,1
fish-071,071,康吉鰻,Neogobius melanostomus,goby,assets/fish/icons/generated/071.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669962200/large.jpg,inat_slug,Neogobius melanostomus,1
fish-072,072,獅子魚,Periophthalmus barbarus,mudskipper,assets/fish/icons/generated/072.png,https://inaturalist-open-data.s3.amazonaws.com/photos/659481669/large.jpg,inat_slug,Periophthalmus barbarus,1
fish-073,073,石頭魚,Stephanolepis cirrhifer,thread-sail-filefish,assets/fish/icons/generated/073.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Stephanolepis_cirrhifer.jpg/330px-Stephanolepis_cirrhifer.jpg,wiki_summary,Stephanolepis cirrhifer,1
fish-074,074,蠍子魚,Apogon imberbis,cardinalfish,assets/fish/icons/generated/074.png,https://static.inaturalist.org/photos/669643008/large.jpg,inat_slug,Apogon imberbis,1
fish-075,075,橙點石斑,Chaetodon marleyi,butterflyfish,assets/fish/icons/generated/075.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Chaetodon_marleyi.jpg/330px-Chaetodon_marleyi.jpg,wiki_summary,Chaetodon marleyi,1
fish-076,076,芝麻石斑,Chromis chromis,damselfish,assets/fish/icons/generated/076.png,https://inaturalist-open-data.s3.amazonaws.com/photos/620319775/large.jpg,inat_slug,Anilocra chromis,1
