id,name_zh,name_en,type,is_island,district,radius_meters,source,lat,lon,geo_method,geo_note
I013,打浪排,Breaker Reef,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.461230186,114.420371668,map.gov.hk locationSearch + geodetic transform,
I014,崩鼻洲,Bun Bei Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.336590131,114.367833336,map.gov.hk locationSearch + geodetic transform,
I015,崩紗排,Bun Sha Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.459208694,114.287555323,map.gov.hk locationSearch + geodetic transform,
I016,茶果洲,Cha Kwo Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.214842171,113.946073385,map.gov.hk locationSearch + geodetic transform,
I017,炸魚排,Cha Yue Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.380276734,114.29551337,map.gov.hk locationSearch + geodetic transform,
I018,杉排,Cham Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.490056536,114.365409733,map.gov.hk locationSearch + geodetic transform,
I019,沉排,Cham Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.323671583,114.329864375,map.gov.hk locationSearch + geodetic transform,
I020,枕頭洲,Cham Tau Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.379333413,114.288657235,map.gov.hk locationSearch + geodetic transform,
I021,執毛洲,Chap Mo Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.514334271,114.294597222,map.gov.hk locationSearch + geodetic transform,
I022,洲仔角,Chau Tsai Kok,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.471679948,114.357310429,map.gov.hk locationSearch + geodetic transform,
