id,name,clean_name,type,is_island,district,radius_meters,lat,lon,geo_display,source
island_193,Sham Shui Pai (),Sham Shui Pai,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_194,Shau Kei Pai (),Shau Kei Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_195,Shek Chau (),Shek Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_196,Shek Kwu Chau (),Shek Kwu Chau,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_197,Shek Ngau Chau (),Shek Ngau Chau,island,true,Tai Po,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_198,Shelter Island (),Shelter Island,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_199,Sheung Pai (),Sheung Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_200,Shui Cham Tsui Pai (),Shui Cham Tsui Pai,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_201,Shui Pai (),Shui Pai,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_202,Siu Kau Yi Chau (),Siu Kau Yi Chau,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_203,Siu Nim Chau (),Siu Nim Chau,island,true,North,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_204,Siu Tsan Chau (),Siu Tsan Chau,island,true,Sai Kung,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
island_205,Soko Islands (),Soko Islands,island,true,Islands,250,,,,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
