id,name_zh,name_en,type,is_island,district,radius_meters,source
I167,橫洲,Wang Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I168,橫排,Wang Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I169,和尚洲,Wo Sheung Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I170,黃茅洲,Wong Mau Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I171,黃泥洲仔,Wong Nai Chau Tsai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I172,黃泥洲,Wong Nai Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I173,往灣洲,Wong Wan Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I174,往灣排,Wong Wan Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I175,黃宜洲,Wong Yi Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I176,烏洲,Wu Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I177,烏排,Wu Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I178,湖洋洲排,Wu Yeung Chau Pai,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I179,烏蠅排,Wu Ying Pai,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I180,印洲,Yan Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I181,游龍角,Yau Lung Kok,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I182,洋洲,Yeung Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I183,羊洲,Yeung Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I184,二浪排,Yi Long Pai,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I185,二排,Yi Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I186,鹽田仔,Yim Tin Tsai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I187,圓崗洲,Yuen Kong Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I188,Channel Rock,Channel Rock,island,true,Kowloon City – now a part of the Kai Tak former airport runway,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I189,Chau Tsai,Chau Tsai,island,true,"absorbed by reclaimed land of Tsing Yi Island, near CRC Oil Depot of Nam Wan Kok",250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I190,佛堂洲,Fat Tong Chau,island,true,"now a part of Tseung Kwan O, Sai Kung as a result of land reclamation",250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I191,Hoi Sham Island,Hoi Sham Island,island,true,Kowloon City (also To Kwa Wan Island) – now part of Hoi Sham Park in To Kwa Wan as a result of reclamation,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I192,Kellett Island,Kellett Island,island,true,"now part of Causeway Bay as a result of gradual land reclamation, Eastern",250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I193,勒加洲,La Ka Chau,island,true,,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I194,Lam Chau,Lam Chau,island,true,Islands – now assimilated with Chek Lap Kok into the airport platform and connected to Lantau by two bridges,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I195,糧船灣洲,Leung Shuen Wan,island,true,connected to the mainland to form the High Island Reservoir,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I196,Mong Chau,Mong Chau,island,true,"an island off the hill of Lai King, buried under the Terminal 2 of the Container Terminal",250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I197,Mouse Island,Mouse Island,island,true,"an island in Sam Shing, Tuen Mun and now a part of Mouse Island Children's Playground",250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I198,Nga Ying Chau,Nga Ying Chau,island,true,"now at the northeast corner of Tsing Yi Island as a result of land reclamation, which name was preserved in the street name nearby ""Nga Ying Chau Street""",250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I199,Rumsey Rock,Rumsey Rock,island,true,now a part of shore between Tsim Sha Tsui East and Hung Hom,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I200,Stonecutters Island,Stonecutters Island,island,true,"a former island, now part of the Kowloon Peninsula, following land reclamation",250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I201,Tsing Chau,Tsing Chau,island,true,"absorbed into reclaimed land of Gin Drinkers Bay or Lap Sap Wan. It is at Kwai Chung, next to Tsing Yi Bridge",250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I202,東頭洲,Tung Tau Chau,island,true,connected to the mainland to form the Plover Cove Reservoir,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I203,元洲仔,Yuen Chau Tsai,island,true,,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I204,Un Chau,Un Chau,island,true,,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I205,Careening Island,Careening Island,island,true,,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
I206,Hong Kong Convention and Exhibition Centre,Hong Kong Convention and Exhibition Centre,island,true,,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong
